Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2018-02-06,-0.08827713409423828,0.14750774,0.2124324,-0.01409605416269963,-0.015041128084606357
2018-02-07,-0.09145293711090088,0.14176838,0.21148728,0.005315772770549008,0.004151978065021552
2018-02-08,-0.08907823584747314,0.09891048,0.16121958,-0.01081667195599289,-0.011750881316098707
2018-02-09,-0.08839449056243896,0.11532391,0.17730111,-0.025150745794985694,-0.0263219741480611
2018-02-12,-0.08729506157684326,0.13084318,0.19727258,-0.013725801332910181,-0.014649432040736423
2018-02-13,-0.08696284188079834,0.13379799,0.19917935,-0.019940759547233736,-0.020838229533881793
2018-02-14,-0.08144287644195557,0.14899367,0.21149412,-0.009494340421030445,-0.010654132393262824
2018-02-15,-0.08114824273681641,0.162861,0.22642903,-0.004257907542579112,-0.0057971014492754335
2018-02-16,-0.0822729274520874,0.1632953,0.22735427,0.006611657674812229,0.0050137093615353415
2018-02-19,-0.07369371050262451,0.1632953,0.22735427,0.000317359568390999,-0.0013317665491578668
2018-02-20,-0.07488422368621826,0.15650004,0.21496212,0.006320744737120455,0.004778691735213359
2018-02-21,-0.08236809673309327,0.15014334,0.20683615,0.007881095948376224,0.0065021543282411595
2018-02-22,-0.08354961772918701,0.15126306,0.21485168,0.005871152015233181,0.004622013317665518
2018-02-23,-0.08478948397827149,0.16971594,0.23176397,0.008039775732571725,0.006658832745789223
2018-02-26,-0.08259980589294434,0.1834683,0.25119573,0.013064635565428959,0.011907559733646548
2018-02-27,-0.07607899668884277,0.1684301,0.23663259,0.011213371416481564,0.009949079514296763
2018-02-28,-0.07613638443756103,0.15546545,0.21809869,0.003993441235586562,0.0028985507246377168
2018-03-01,-0.0799446715927124,0.14006956,0.19764785,-0.008621601607955122,-0.00955738347042694
2018-03-02,-0.08129585744476318,0.14585155,0.19419639,-0.029302866814767757,-0.03047395221308265
2018-03-05,-0.0853934984664917,0.15849261,0.21058257,-0.019173807256955465,-0.020368194281237824
2018-03-06,-0.08801694702911377,0.1615497,0.21103807,-0.01785147572199302,-0.01919310614962791
2018-03-07,-0.08818557820129394,0.16098766,0.20701039,-0.01430762720829373,-0.01605953779866832
2018-03-08,-0.08446110395812988,0.16616924,0.21157786,-0.003966994604887337,-0.005953779866823385
